,artist,song,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Delta Sleep,Water Fall,Spring Island,51,0.217,0.208,7,-11.112,1,0.0434,0.967,0.0108,0.292,0.0787,206.289,99220,3
1,Delta Sleep,The Detail,Spring Island,51,0.477,0.637,7,-7.244,1,0.0385,0.056,0.0143,0.0904,0.545,112.574,269174,4
2,Delta Sleep,View to a Fill,Spring Island,51,0.349,0.795,11,-5.813,0,0.0693,0.0302,0.00176,0.13,0.446,79.704,220800,4
3,Delta Sleep,Planet Fantastic,Spring Island,51,0.519,0.753,4,-5.334,1,0.0412,0.0161,0.00307,0.448,0.316,148.326,232371,4
4,Delta Sleep,Forest Fire,Spring Island,51,0.478,0.262,2,-10.825,1,0.0281,0.718,0.585,0.232,0.0861,132.065,205539,4
5,Delta Sleep,The Softest Touch,Spring Island,51,0.375,0.707,11,-7.069,0,0.0331,0.0467,0.261,0.143,0.264,133.682,329636,4
6,Delta Sleep,Old Soul,Spring Island,51,0.214,0.772,4,-6.727,1,0.0582,0.00796,3.05e-05,0.327,0.342,74.545,249550,4
7,Delta Sleep,Dancing Music,Spring Island,51,0.208,0.0282,11,-30.62,1,0.0419,0.993,0.841,0.15,0.0389,70.406,70537,3
8,Delta Sleep,Spun,Spring Island,51,0.518,0.702,1,-7.569,0,0.0311,0.0525,0.0489,0.0878,0.444,78.06,274528,4
9,Delta Sleep,Hotel 24,Spring Island,51,0.372,0.743,11,-5.881,0,0.0321,0.0448,0.00235,0.531,0.583,106.439,257995,3
10,Delta Sleep,Contender,Spring Island,51,0.482,0.616,7,-6.568,1,0.0413,0.031,0.00575,0.132,0.189,115.389,314117,4
11,Delta Sleep,Water Rise,Spring Island,51,0.453,0.43,4,-12.283,0,0.041,0.858,0.209,0.283,0.467,82.914,156127,3
12,Delta Sleep,"Afterimage (Otto, TX, US)",Soft Sounds,41,0.6,0.292,9,-14.838,1,0.0517,0.778,0.556,0.121,0.53,81.034,181291,4
13,Delta Sleep,"Strongthany (Tokyo, JP)",Soft Sounds,41,0.47,0.453,1,-15.588,0,0.0688,0.547,0.134,0.0693,0.151,142.458,287403,4
14,Delta Sleep,"Dotwork (Paris, FR)",Soft Sounds,41,0.544,0.252,7,-12.839,1,0.0416,0.871,0.00186,0.159,0.239,140.771,298451,4
15,Delta Sleep,"Dream Thang (Brooklyn, NY, US)",Soft Sounds,41,0.472,0.371,4,-14.112,1,0.0339,0.757,0.307,0.108,0.201,123.271,161067,4
16,Delta Sleep,"Camp Adventure (Tokyo, JP)",Soft Sounds,41,0.357,0.512,8,-8.608,0,0.0363,0.68,1.6e-05,0.093,0.163,104.73,174707,4
17,Delta Sleep,"Sans Soleil (Paris, FR)",Soft Sounds,41,0.515,0.191,10,-15.873,0,0.0371,0.935,3.07e-05,0.114,0.35,106.72,184000,4
18,Delta Sleep,"Three Ghosts (Aegean Sea, TU)",Soft Sounds,41,0.368,0.318,1,-16.071,0,0.0356,0.942,0.899,0.893,0.28,65.039,120319,4
19,Delta Sleep,"Single File (Venice Beach, CA, US)",Soft Sounds,41,0.431,0.474,4,-12.631,1,0.0498,0.304,0.0405,0.592,0.544,147.0,317160,4
20,Delta Sleep,"El Pastor (Dallas, TX, US)",Soft Sounds,41,0.316,0.434,2,-13.001,1,0.047,0.86,0.012,0.346,0.106,133.924,333824,4
21,Delta Sleep,A Casa (Quarantine Version),Soft Sounds,41,0.746,0.433,4,-15.064,0,0.0344,0.622,0.068,0.19,0.587,137.055,260864,4
